Date / Time,City,State,Shape,Duration,Summary,Posted
10/15/17 14:00,Houston,TX,Circle,30.0,((NUFORC Note:  Witness provides no significant data.  PD)),10/19/17
10/8/17 20:15,Longview,TX,Triangle,45.0,I had gone out on my pool patio with a glass of ice tea to relax while my family watched football. As soon as I sat down in my longue c,10/19/17
10/4/17 11:20,Lexington,TX,Rectangle,1.0,"Loud, low-flying black rectangles.  ((anonymous report))",10/5/17
9/16/17 20:15,Austin,TX,Light,2.0,"Two Red Lights with Blinking White Lights Over Austin, Texas",9/21/17
9/8/17 08:45,Houston,TX,Sphere,1.0,"Bright white sphere high in the morning sky, illuminating light grows in size, then vanishes in an instant.",9/8/17
9/7/17 22:00,Richmond,TX,Triangle,10.0,Black triangle over Texas.,9/8/17
9/7/17 03:00,Azle,TX,Other,1.0,"Object was low, 100-200 feet, moving straight line west to east 20-30 mph, black, nontransparent, shapeless, billowing, silent.",9/14/17
8/17/17 01:00,Cedar Park,TX,Light,3.0,"Two blue lights, one event moving east to west, and the other moving north to south.",8/24/17
8/15/17 00:30,Georgetown,TX,Flash,2.0,"Single intermittent flashing white light suddenly appears, traverses a small segment of the sky, then disappears.",8/17/17
8/14/17 22:00,Austin,TX,Triangle,20.0,"NW part of Austin.  In the W part of the sky, three lights appeared, thought it was a plane, but the lights started becoming bright.",8/17/17
8/12/17 03:30,Austin,TX,Light,1.0,White light.,8/17/17
8/11/17 17:45,Leander,TX,Chevron,2.0,"I noticed a dark grey craft, no lights,heading east,looked away for a 1-2 count when I looked back up, it had disappeared from sight. W",7/19/18
7/29/17 22:00,Keller,TX,Formation,4.0,12 white dots in four groups of three flying in a coordinated path at high altitude.,8/4/17
7/29/17 21:30,Pilot Point,TX,Rectangle,10.0,Rectangular with lights and a loud sound.,8/4/17
7/26/17 01:00,Pleasanton,TX,Flash,20.0,I had driven home after a night of work and was outside having a ciggertte before going inside.i live out in the country on a ranch and,7/27/17
7/18/17 21:25,Nacogdoches,TX,Sphere,6.0,"To the east a star appeared in the atmosphere out of nowhere, then shot across the sky to the North,  then just disappeared .",7/23/17
7/13/17 07:51,McKinney,TX,Sphere,3.0,Red metallic sphere.,7/14/17
7/8/17 05:15,San Antonio,TX,Other,10.0,"Like a very very large square window, shape of bright white light",7/23/17
7/2/17 21:45,Denton,TX,Triangle,5.0,"At 9:45 pm I was walking north on Fulton. Here in Denton it's clear skies with a waxing moon, but a thunderstorm in Oklahoma was reall",7/7/17
6/16/17 05:00,Aledo,TX,Flash,2.0,"Bright light about 10x a star, flashing with tint of red lights in Aledo, TX, sky for hrs. ((NUFORC Note:  Venus??  Anonymous.  PD))",6/22/17
6/14/17 23:00,Leander,TX,Sphere,10.0,LOW HELICOPTER FOLLOWING A RED SPHERE WITH NO BLINKING LIGHTS ON SPHERE.  IT WAS HEADING IN SOUTHWEST DIRECTION.,6/15/17
6/9/17 05:00,Ballinger,TX,Circle,4.0,"Driving from Kerrville, Tx to Ballinger, TX and beyond we saw this round object in the sky above the clouds. It didn't appear to move d",6/15/17
